,rho,mae,rmse,type,embedding,id
,0.669779351,0.559749728,0.736866614,ir_yr,t2m+tp,5
,0.646085847,0.479679044,0.782629758,ir_yr,t2m+rh,6
,0.68601211,0.42818962,0.767637545,ir_yr,t2m+rh,6
,0.390726846,0.588713658,0.932556458,ir_yr,t2m+rh,6
,0.543366934,0.521516931,0.876222388,ir_yr,t2m+rh,6
,0.658235907,0.553922333,0.757617361,ir_yr,t2m+rh,6
,0.534761618,0.695133524,0.83751965,ir_yr,t2m+rh,6
,0.54392243,0.587393554,0.847041874,ir_yr,t2m+rh,6
,0.767438677,0.43559628,0.646220453,ir_yr,t2m+rh,6
,0.81866891,0.3613436,0.613189647,ir_yr,t2m+rh,6
,0.497325064,0.572180188,0.913874587,ir_yr,t2m+rh,6
,0.636569433,0.38339618,0.794234965,ir_yr,t2m+rh,6
,0.768687246,0.384634611,0.658161324,ir_yr,t2m+rh,6
,0.339604757,0.552777013,0.987097682,ir_yr,t2m+rh,6
,0.66929035,0.383104004,0.746496897,ir_yr,t2m+rh,6
,0.436388031,0.71297993,0.858068167,ir_yr,t2m+rh,6
,0.591560946,0.535927363,0.816015462,ir_yr,t2m+rh,6
,0.510029455,0.572594117,0.864683514,ir_yr,t2m+rh,6
,0.750043508,0.476610462,0.666470919,ir_yr,t2m+rh,6
,0.359112239,0.440462478,0.942364051,ir_yr,t2m+rh,6
,0.687647925,0.503285516,0.729750223,ir_yr,t2m+rh,6
,0.555766718,0.589896422,0.879542037,ir_yr,t2m+rh,6
,0.661609894,0.552645037,0.750678635,ir_yr,t2m+rh,6
,0.724883114,0.387636734,0.563337781,ir_yr,t2m+rh,6
,0.737797872,0.478005499,0.669562715,ir_yr,t2m+rh,6
,0.53565808,0.551458541,0.862988208,ir_yr,t2m+svpd,7
,0.504217653,0.578493864,1.015757426,ir_yr,t2m+svpd,7
,0.69312231,0.435928004,0.727048073,ir_yr,t2m+svpd,7
,0.567707853,0.582408296,0.828557375,ir_yr,t2m+svpd,7
,0.667476807,0.56277155,0.755188172,ir_yr,t2m+svpd,7
,0.542453566,0.737487709,0.832465741,ir_yr,t2m+svpd,7
,0.619084931,0.52865744,0.796420822,ir_yr,t2m+svpd,7
,0.759391559,0.427757018,0.655453843,ir_yr,t2m+svpd,7
,0.677014938,0.38985722,0.76124962,ir_yr,t2m+svpd,7
,0.526575153,0.610174644,0.861382508,ir_yr,t2m+svpd,7
,0.423621078,0.611843892,1.16472609,ir_yr,t2m+svpd,7
,0.476559925,0.582252661,0.896568044,ir_yr,t2m+svpd,7
,0.204916184,0.601425189,1.024734755,ir_yr,t2m+svpd,7
,0.810883744,0.333165022,0.590110494,ir_yr,t2m+svpd,7
,0.409774233,0.732082615,0.866708453,ir_yr,t2m+svpd,7
,0.635662713,0.451260741,0.778257101,ir_yr,t2m+svpd,7
,0.826501253,0.418874893,0.573807169,ir_yr,t2m+svpd,7
,0.664513323,0.537598833,0.758497945,ir_yr,t2m+svpd,7
,0.458223612,0.430863917,0.916619366,ir_yr,t2m+svpd,7
,0.721029181,0.482144816,0.69159522,ir_yr,t2m+svpd,7
,0.510671096,0.569790381,0.894179234,ir_yr,t2m+svpd,7
,0.727541315,0.476245944,0.684686783,ir_yr,t2m+svpd,7
,0.751337786,0.355588784,0.514603856,ir_yr,t2m+svpd,7
,0.723023009,0.499096035,0.685962838,ir_yr,t2m+svpd,7
,0.506371492,0.542887864,0.879269903,ir_yr,t2m+tp+rh,10
,0.68232711,0.430120418,0.739291957,ir_yr,t2m+tp+rh,10
,0.646450491,0.450695588,0.770187453,ir_yr,t2m+tp+rh,10
,0.574051885,0.562036542,0.827142196,ir_yr,t2m+tp+rh,10
,0.663396923,0.554924612,0.748368531,ir_yr,t2m+tp+rh,10
,0.56405681,0.685016992,0.827014362,ir_yr,t2m+tp+rh,10
,0.686764148,0.499374762,0.74062743,ir_yr,t2m+tp+rh,10
,0.744967566,0.450966021,0.674480348,ir_yr,t2m+tp+rh,10
,0.752892069,0.334440475,0.675664707,ir_yr,t2m+tp+rh,10
,0.520453742,0.621685018,0.865594478,ir_yr,t2m+tp+rh,10
,0.513757546,0.467865617,0.863654773,ir_yr,t2m+tp+rh,10
,0.734253167,0.465445293,0.687082215,ir_yr,t2m+tp+rh,10
,0.254646269,0.566961821,0.993721849,ir_yr,t2m+tp+rh,10
