date,Year,Month,Cases,Hemisphere,model,country,facet
2019/9/1,2019,9,1.018429709,N,obs,Colombia,N-obs
2019/10/1,2019,10,0.933713211,N,obs,Colombia,N-obs
2019/11/1,2019,11,1.395678582,N,obs,Colombia,N-obs
2019/12/1,2019,12,1.221310644,N,obs,Colombia,N-obs
2014/4/1,2014,4,-0.671991653,N,obs,Costa Rica,N-obs
2014/5/1,2014,5,-0.400372531,N,obs,Costa Rica,N-obs
2014/6/1,2014,6,0.17936789,N,obs,Costa Rica,N-obs
2014/7/1,2014,7,0.602363678,N,obs,Costa Rica,N-obs
2014/8/1,2014,8,0.535800889,N,obs,Costa Rica,N-obs
2014/9/1,2014,9,0.358657982,N,obs,Costa Rica,N-obs
2014/10/1,2014,10,0.006519357,N,obs,Costa Rica,N-obs
2014/11/1,2014,11,-0.034277191,N,obs,Costa Rica,N-obs
2014/12/1,2014,12,-0.18350667,N,obs,Costa Rica,N-obs
2015/1/1,2015,1,-0.471229693,N,obs,Costa Rica,N-obs
2015/2/1,2015,2,-0.837325033,N,obs,Costa Rica,N-obs
2015/3/1,2015,3,-0.867385647,N,obs,Costa Rica,N-obs
2015/4/1,2015,4,-0.851281746,N,obs,Costa Rica,N-obs
2015/5/1,2015,5,-0.665550093,N,obs,Costa Rica,N-obs
2015/6/1,2015,6,-0.203904944,N,obs,Costa Rica,N-obs
2015/7/1,2015,7,0.304978314,N,obs,Costa Rica,N-obs
2015/8/1,2015,8,0.971679797,N,obs,Costa Rica,N-obs
2015/9/1,2015,9,1.217532679,N,obs,Costa Rica,N-obs
2015/10/1,2015,10,2.443576308,N,obs,Costa Rica,N-obs
2015/11/1,2015,11,3.317481312,N,obs,Costa Rica,N-obs
2015/12/1,2015,12,1.690987355,N,obs,Costa Rica,N-obs
2016/1/1,2016,1,2.654000609,N,obs,Costa Rica,N-obs
2016/2/1,2016,2,1.100511002,N,obs,Costa Rica,N-obs
2016/3/1,2016,3,-0.092251233,N,obs,Costa Rica,N-obs
2016/4/1,2016,4,-0.395004564,N,obs,Costa Rica,N-obs
2016/5/1,2016,5,0.065566992,N,obs,Costa Rica,N-obs
2016/6/1,2016,6,1.072597574,N,obs,Costa Rica,N-obs
2016/7/1,2016,7,2.20523858,N,obs,Costa Rica,N-obs
2016/8/1,2016,8,2.542346898,N,obs,Costa Rica,N-obs
2016/9/1,2016,9,1.560008964,N,obs,Costa Rica,N-obs
2016/10/1,2016,10,0.930883249,N,obs,Costa Rica,N-obs
2016/11/1,2016,11,0.622761952,N,obs,Costa Rica,N-obs
2016/12/1,2016,12,0.141792122,N,obs,Costa Rica,N-obs
2017/1/1,2017,1,-0.367091136,N,obs,Costa Rica,N-obs
2017/2/1,2017,2,-0.758952716,N,obs,Costa Rica,N-obs
2017/3/1,2017,3,-0.76646787,N,obs,Costa Rica,N-obs
2017/4/1,2017,4,-0.808338011,N,obs,Costa Rica,N-obs
2017/5/1,2017,5,-0.608649645,N,obs,Costa Rica,N-obs
2017/6/1,2017,6,-0.268320546,N,obs,Costa Rica,N-obs
2017/7/1,2017,7,0.018328884,N,obs,Costa Rica,N-obs
2017/8/1,2017,8,-0.246848679,N,obs,Costa Rica,N-obs
2017/9/1,2017,9,-0.493775154,N,obs,Costa Rica,N-obs
2017/10/1,2017,10,-0.573221063,N,obs,Costa Rica,N-obs
2017/11/1,2017,11,-0.741775223,N,obs,Costa Rica,N-obs
2017/12/1,2017,12,-0.942537183,N,obs,Costa Rica,N-obs
2018/1/1,2018,1,-0.86523846,N,obs,Costa Rica,N-obs
2018/2/1,2018,2,-0.864164867,N,obs,Costa Rica,N-obs
2018/3/1,2018,3,-0.913550162,N,obs,Costa Rica,N-obs
2018/4/1,2018,4,-0.863091273,N,obs,Costa Rica,N-obs
2018/5/1,2018,5,-0.840545813,N,obs,Costa Rica,N-obs
2018/6/1,2018,6,-0.748216783,N,obs,Costa Rica,N-obs
2018/7/1,2018,7,-0.692389927,N,obs,Costa Rica,N-obs
2018/8/1,2018,8,-0.775056617,N,obs,Costa Rica,N-obs
2018/9/1,2018,9,-0.786866144,N,obs,Costa Rica,N-obs
2018/10/1,2018,10,-0.752511156,N,obs,Costa Rica,N-obs
2018/11/1,2018,11,-0.725671322,N,obs,Costa Rica,N-obs
2018/12/1,2018,12,-0.837325033,N,obs,Costa Rica,N-obs
2019/1/1,2019,1,-0.885636734,N,obs,Costa Rica,N-obs
2019/2/1,2019,2,-1.023056686,N,obs,Costa Rica,N-obs
2019/3/1,2019,3,-0.828736286,N,obs,Costa Rica,N-obs
2019/4/1,2019,4,-0.842692999,N,obs,Costa Rica,N-obs
2019/5/1,2019,5,-0.462640946,N,obs,Costa Rica,N-obs
2019/6/1,2019,6,-0.063264212,N,obs,Costa Rica,N-obs
2019/7/1,2019,7,0.292095193,N,obs,Costa Rica,N-obs
2019/8/1,2019,8,0.573376657,N,obs,Costa Rica,N-obs
2019/9/1,2019,9,0.453134199,N,obs,Costa Rica,N-obs
2019/10/1,2019,10,0.405896091,N,obs,Costa Rica,N-obs
2019/11/1,2019,11,0.133203375,N,obs,Costa Rica,N-obs
2019/12/1,2019,12,-0.379974257,N,obs,Costa Rica,N-obs
2014/4/1,2014,4,-0.328819313,N,obs,Dominican Republic,N-obs
2014/5/1,2014,5,-0.112846828,N,obs,Dominican Republic,N-obs
2014/6/1,2014,6,-0.111808498,N,obs,Dominican Republic,N-obs
2014/7/1,2014,7,-0.282094496,N,obs,Dominican Republic,N-obs
2014/8/1,2014,8,-0.476262067,N,obs,Dominican Republic,N-obs
2014/9/1,2014,9,-0.401502361,N,obs,Dominican Republic,N-obs
2014/10/1,2014,10,-0.138805059,N,obs,Dominican Republic,N-obs
2014/11/1,2014,11,-0.309091057,N,obs,Dominican Republic,N-obs
2014/12/1,2014,12,-0.334010959,N,obs,Dominican Republic,N-obs
2015/1/1,2015,1,-0.426422263,N,obs,Dominican Republic,N-obs
2015/2/1,2015,2,-0.385927422,N,obs,Dominican Republic,N-obs
2015/3/1,2015,3,-0.366199166,N,obs,Dominican Republic,N-obs
2015/4/1,2015,4,-0.320512679,N,obs,Dominican Republic,N-obs
2015/5/1,2015,5,-0.223948058,N,obs,Dominican Republic,N-obs
2015/6/1,2015,6,-0.135690071,N,obs,Dominican Republic,N-obs
2015/7/1,2015,7,0.377244582,N,obs,Dominican Republic,N-obs
2015/8/1,2015,8,0.888102576,N,obs,Dominican Republic,N-obs
2015/9/1,2015,9,2.031303088,N,obs,Dominican Republic,N-obs
2015/10/1,2015,10,3.552455449,N,obs,Dominican Republic,N-obs
2015/11/1,2015,11,2.500627912,N,obs,Dominican Republic,N-obs
2015/12/1,2015,12,0.971168917,N,obs,Dominican Republic,N-obs
2016/1/1,2016,1,0.665900115,N,obs,Dominican Republic,N-obs
2016/2/1,2016,2,0.453042618,N,obs,Dominican Republic,N-obs
2016/3/1,2016,3,-0.060930365,N,obs,Dominican Republic,N-obs
2016/4/1,2016,4,0.195536962,N,obs,Dominican Republic,N-obs
2016/5/1,2016,5,-0.316359362,N,obs,Dominican Republic,N-obs
2016/6/1,2016,6,-0.122191791,N,obs,Dominican Republic,N-obs
2016/7/1,2016,7,-0.326742654,N,obs,Dominican Republic,N-obs
