old_time,date,country,cases,month,time,time_yr,time_14
2018.409993,2018/5/31,Costa Rica,197,5,1977,1611,1612
2018.492129,2018/6/30,Costa Rica,283,6,2007,1641,1642
2018.577002,2018/7/31,Costa Rica,335,7,2038,1672,1673
2018.661875,2018/8/31,Costa Rica,258,8,2069,1703,1704
2018.744011,2018/9/30,Costa Rica,247,9,2099,1733,1734
2018.828884,2018/10/31,Costa Rica,279,10,2130,1764,1765
2018.91102,2018/11/30,Costa Rica,304,11,2160,1794,1795
2018.995893,2018/12/31,Costa Rica,200,12,2191,1825,1826
2019.080767,2019/1/31,Costa Rica,155,1,2222,1856,1857
2019.157426,2019/2/28,Costa Rica,27,2,2250,1884,1885
2019.2423,2019/3/31,Costa Rica,208,3,2281,1915,1916
2019.324435,2019/4/30,Costa Rica,195,4,2311,1945,1946
2019.409309,2019/5/31,Costa Rica,549,5,2342,1976,1977
2019.491444,2019/6/30,Costa Rica,921,6,2372,2006,2007
2019.576318,2019/7/31,Costa Rica,1252,7,2403,2037,2038
2019.661191,2019/8/31,Costa Rica,1514,8,2434,2068,2069
2019.743326,2019/9/30,Costa Rica,1402,9,2464,2098,2099
2019.8282,2019/10/31,Costa Rica,1358,10,2495,2129,2130
2019.910335,2019/11/30,Costa Rica,1104,11,2525,2159,2160
2019.995209,2019/12/31,Costa Rica,626,12,2556,2190,2191
2014.081451,2014/1/31,Dominican Republic,942,1,396,30,31
2014.158111,2014/2/28,Dominican Republic,538,2,424,58,59
2014.242984,2014/3/31,Dominican Republic,516,3,455,89,90
2014.32512,2014/4/30,Dominican Republic,425,4,485,119,120
2014.409993,2014/5/31,Dominican Republic,633,5,516,150,151
2014.492129,2014/6/30,Dominican Republic,634,6,546,180,181
2014.577002,2014/7/31,Dominican Republic,470,7,577,211,212
2014.661875,2014/8/31,Dominican Republic,283,8,608,242,243
2014.744011,2014/9/30,Dominican Republic,355,9,638,272,273
2014.828884,2014/10/31,Dominican Republic,608,10,669,303,304
2014.91102,2014/11/30,Dominican Republic,444,11,699,333,334
2014.995893,2014/12/31,Dominican Republic,420,12,730,364,365
2015.080767,2015/1/31,Dominican Republic,331,1,761,395,396
2015.157426,2015/2/28,Dominican Republic,370,2,789,423,424
2015.2423,2015/3/31,Dominican Republic,389,3,820,454,455
