country,date,obs_cases_std,pre_cases_std_without,pre_cases_std_with
Costa Rica,2015/1/31,0.459906284,1.00883,0.584565381
Costa Rica,2015/2/28,0.829636362,1.06291,0.584589877
Costa Rica,2015/3/31,0.85999543,0.94191,0.574409906
Costa Rica,2015/4/30,0.843731644,0.91482,0.519935282
Costa Rica,2015/5/31,0.656155973,0.54939,0.390350762
Costa Rica,2015/6/30,0.189927429,0.18382,0.150457348
Costa Rica,2015/7/31,-0.324008222,-0.2154,-0.408852791
Costa Rica,2015/8/31,-0.997328981,-0.59537,-0.612250628
Costa Rica,2015/9/30,-1.245622787,-0.54334,-2.374249956
Costa Rica,2015/10/31,-2.483839061,-0.41008,-4.505131483
Costa Rica,2015/11/30,-3.366420538,-0.12663,-3.275506546
Costa Rica,2015/12/31,-1.723778108,-0.04307,-2.907872203
Costa Rica,2016/1/31,-2.696352537,0.09921,-1.947948749
Costa Rica,2016/2/29,-1.127439272,0.30809,-0.836345112
Costa Rica,2016/3/31,0.077165176,0.12427,-0.959235268
Costa Rica,2016/4/30,0.382924361,0.08315,-0.850425512
Costa Rica,2016/5/31,-0.082219931,-1.37441,-0.563760261
Costa Rica,2016/6/30,-1.099248709,-2.47703,-0.865787439
Costa Rica,2016/7/31,-2.243135021,-2.99315,-0.612591074
Costa Rica,2016/8/31,-2.583590284,-2.38939,-0.213029382
Costa Rica,2016/9/30,-1.591499312,-1.07651,0.049438563
Costa Rica,2016/10/31,-0.956127388,-0.5205,0.210213513
Costa Rica,2016/11/30,-0.644946941,-0.04252,0.38057733
Costa Rica,2016/12/31,-0.159201853,-0.05464,0.450957864
Costa Rica,2017/1/31,0.354733798,0.10853,0.508936621
Costa Rica,2017/2/28,0.750485935,0.21976,0.555858193
Costa Rica,2017/3/31,0.758075702,0.00992,0.557011897
Costa Rica,2017/4/30,0.800361546,-0.00538,0.551966404
Costa Rica,2017/5/31,0.598690595,0.21463,0.552280395
Costa Rica,2017/6/30,0.254982575,0.4934,0.546848405
Costa Rica,2017/7/31,-0.034512824,0.58509,0.550542803
Costa Rica,2017/8/31,0.233297526,0.62696,0.526453635
Costa Rica,2017/9/30,0.482675585,0.75424,0.51340348
Costa Rica,2017/10/31,0.562910264,0.87244,0.486390059
Costa Rica,2017/11/30,0.733137896,1.00045,0.533703028
Costa Rica,2017/12/31,0.9358931,1.03377,0.555019015
Costa Rica,2018/1/31,0.857826925,1.03738,0.58210913
Costa Rica,2018/2/28,0.856742673,1.10594,0.598262045
Costa Rica,2018/3/31,0.906618284,0.98817,0.594142668
Costa Rica,2018/4/30,0.85565842,0.984,0.585122547
Costa Rica,2018/5/31,0.832889119,0.89438,0.569734076
Costa Rica,2018/6/30,0.73964341,0.65096,0.559451135
Costa Rica,2018/7/31,0.683262284,0.24735,0.559139905
Costa Rica,2018/8/31,0.766749721,-0.10036,0.553561832
Costa Rica,2018/9/30,0.778676498,-0.2545,0.550711601
Costa Rica,2018/10/31,0.74398042,-0.22598,0.47649789
Costa Rica,2018/11/30,0.716874109,0.00045,0.456281627
Costa Rica,2018/12/31,0.829636362,0.03882,0.445016185
Costa Rica,2019/1/31,0.878427721,0.12354,0.469715786
Costa Rica,2019/2/28,1.017212032,0.3283,0.497042307
Costa Rica,2019/3/31,0.820962343,0.171,0.422661847
Costa Rica,2019/4/30,0.835057624,0.16058,0.317507742
Costa Rica,2019/5/31,0.451232264,-0.6684,-0.069129837
Costa Rica,2019/6/30,0.047890361,-1.99048,-0.234299139
Costa Rica,2019/7/31,-0.310997193,-3.02047,-0.300282737
Costa Rica,2019/8/31,-0.595071329,-2.87096,-0.316381583
Costa Rica,2019/9/30,-0.473635057,-1.66132,-0.469068941
Costa Rica,2019/10/31,-0.425927951,-0.73627,-0.873078965
Costa Rica,2019/11/30,-0.150527834,-0.07768,-0.958683268
Costa Rica,2019/12/31,0.367744827,-0.17754,-0.992698275
Dominican Republic,2014/2/28,0.208056775,0.865558652,0.483126512
Dominican Republic,2014/3/31,0.231217029,0.855188562,0.494864029
Dominican Republic,2014/4/30,0.327016261,0.848106531,0.502846736
Dominican Republic,2014/5/31,0.108046588,0.729424029,0.502982447
Dominican Republic,2014/6/30,0.106993849,0.571850583,0.492810818
Dominican Republic,2014/7/31,0.279643014,0.429758443,0.472915025
Dominican Republic,2014/8/31,0.476505172,-0.218299869,0.387631546
Dominican Republic,2014/9/30,0.400707977,-1.153813422,0.210353572
Dominican Republic,2014/10/31,0.134365058,-1.103567759,-0.044992934
Dominican Republic,2014/11/30,0.307014223,-0.337851208,0.036190766
Dominican Republic,2014/12/31,0.332279955,0.232380143,0.169243793
Dominican Republic,2015/1/31,0.425973709,0.517715359,0.340518247
Dominican Republic,2015/2/28,0.384916895,0.687877615,0.428086974
Dominican Republic,2015/3/31,0.364914858,0.684006706,0.458521193
Dominican Republic,2015/4/30,0.31859435,0.629488354,0.463141511
Dominican Republic,2015/5/31,0.220689641,0.575665539,0.440579438
Dominican Republic,2015/6/30,0.131206842,0.558327657,0.39231972
Dominican Republic,2015/7/31,-0.388846132,0.426767251,0.226699544
Dominican Republic,2015/8/31,-0.906793627,0.057729156,-0.536591128
Dominican Republic,2015/9/30,-2.06585906,-2.06776381,-3.04787306
Dominican Republic,2015/10/31,-3.60812142,-3.26619612,-3.814236668
Dominican Republic,2015/11/30,-2.541697003,-1.418588755,-1.495602138
Dominican Republic,2015/12/31,-0.991012732,-0.190962591,-0.475282343
