"","country","climate_var","method","LibSize","q025","q500","q975"
"1336","Guatemala","rh","observed",20,0.280162119232642,0.280162119232642,0.280162119232642
"1337","Guatemala","rh","observed",25,0.301424115592335,0.301424115592335,0.301424115592335
"1338","Guatemala","rh","observed",30,0.307344758317304,0.307344758317304,0.307344758317304
"1339","Guatemala","rh","observed",35,0.299211187794832,0.299211187794832,0.299211187794832
"1340","Guatemala","rh","observed",40,0.304846464017405,0.304846464017405,0.304846464017405
"1341","Guatemala","rh","observed",45,0.288860144446383,0.288860144446383,0.288860144446383
"1342","Guatemala","rh","observed",50,0.284021089926595,0.284021089926595,0.284021089926595
"1343","Guatemala","rh","observed",55,0.280315457936249,0.280315457936249,0.280315457936249
"1344","Guatemala","rh","observed",60,0.281404859360534,0.281404859360534,0.281404859360534
"1345","Guatemala","rh","ebisuzaki",5,0,0,0
"1346","Guatemala","rh","ebisuzaki",10,-0.0312204849838785,0.14585233527218,0.29435617414901
"1347","Guatemala","rh","ebisuzaki",15,-0.0229090705018722,0.173643446503527,0.349749523818074
"1348","Guatemala","rh","ebisuzaki",20,-0.0167667048836004,0.210279967918858,0.393399801271569
"1349","Guatemala","rh","ebisuzaki",25,-0.0328376068146766,0.222360444608797,0.409948867186471
"1350","Guatemala","rh","ebisuzaki",30,-0.0302700270142396,0.236849527073783,0.42805644986619
"1351","Guatemala","rh","ebisuzaki",35,-0.0291627656674434,0.245305606972146,0.435086834143603
"1352","Guatemala","rh","ebisuzaki",40,-0.025924088711777,0.254462096002034,0.442192247732271
"1353","Guatemala","rh","ebisuzaki",45,-0.0198404339236143,0.255974702878273,0.443971917052248
"1354","Guatemala","rh","ebisuzaki",50,-0.000289856097516582,0.25965898202316,0.453559252373313
"1355","Guatemala","rh","ebisuzaki",55,0.00827992011063794,0.268294476280825,0.461322598738731
"1356","Guatemala","rh","ebisuzaki",60,0.0195460532969737,0.271818861222495,0.472178040894522
"1357","Guatemala","rh","seasonal",5,0,0,0
"1358","Guatemala","rh","seasonal",10,0.143232079421308,0.21100091724413,0.276006562361772
"1359","Guatemala","rh","seasonal",15,0.150752533213125,0.232923111740519,0.310917322697139
"1360","Guatemala","rh","seasonal",20,0.177747788845458,0.260826391254182,0.327508993031078
"1361","Guatemala","rh","seasonal",25,0.187883065496229,0.257079644948004,0.326035340746693
"1362","Guatemala","rh","seasonal",30,0.17088495645291,0.257110180362083,0.325149841903484
"1363","Guatemala","rh","seasonal",35,0.158012672444515,0.24845324095594,0.321708086964009
"1364","Guatemala","rh","seasonal",40,0.165806998657684,0.257326276237717,0.330955839614418
"1365","Guatemala","rh","seasonal",45,0.137817883483961,0.239618522318957,0.323664721763926
"1366","Guatemala","rh","seasonal",50,0.123093383845604,0.23558619154643,0.321380436795269
"1367","Guatemala","rh","seasonal",55,0.119354344168292,0.229473020786674,0.315166205754078
"1368","Guatemala","rh","seasonal",60,0.107608546514931,0.221527790909236,0.31392828703609
"1369","Guatemala","svpd","observed",5,0,0,0
"1370","Guatemala","svpd","observed",10,0.26177866719676,0.26177866719676,0.26177866719676
"1371","Guatemala","svpd","observed",15,0.330640420255533,0.330640420255533,0.330640420255533
"1372","Guatemala","svpd","observed",20,0.3346538151248,0.3346538151248,0.3346538151248
"1373","Guatemala","svpd","observed",25,0.351113313070805,0.351113313070805,0.351113313070805
"1374","Guatemala","svpd","observed",30,0.355531784411251,0.355531784411251,0.355531784411251
"1375","Guatemala","svpd","observed",35,0.354176375517049,0.354176375517049,0.354176375517049
"1376","Guatemala","svpd","observed",40,0.365933388470387,0.365933388470387,0.365933388470387
"1377","Guatemala","svpd","observed",45,0.356620970690571,0.356620970690571,0.356620970690571
"1378","Guatemala","svpd","observed",50,0.351862093295485,0.351862093295485,0.351862093295485
"1379","Guatemala","svpd","observed",55,0.340476208798238,0.340476208798238,0.340476208798238
"1380","Guatemala","svpd","observed",60,0.332359728368522,0.332359728368522,0.332359728368522
"1381","Guatemala","svpd","ebisuzaki",5,0,0,0
"1382","Guatemala","svpd","ebisuzaki",10,-0.0187924898622421,0.143005003995329,0.300254109618935
"1383","Guatemala","svpd","ebisuzaki",15,-0.019238845395431,0.18167140943325,0.392114238957266
"1384","Guatemala","svpd","ebisuzaki",20,-0.00588139940050999,0.21161542836097,0.418993300015825
"1385","Guatemala","svpd","ebisuzaki",25,-0.0235569646104966,0.224090556013802,0.448429424145758
"1386","Guatemala","svpd","ebisuzaki",30,-0.0534257761143251,0.231683777149986,0.470842560378419
"1387","Guatemala","svpd","ebisuzaki",35,-0.0445864269575912,0.243843150700082,0.477687063900317
"1388","Guatemala","svpd","ebisuzaki",40,-0.0731917945321862,0.244900383364203,0.481623690070773
"1389","Guatemala","svpd","ebisuzaki",45,-0.0504924034348705,0.259543116062955,0.49426197906225
"1390","Guatemala","svpd","ebisuzaki",50,-0.0542429904968036,0.263780699982417,0.498210078951202
"1391","Guatemala","svpd","ebisuzaki",55,-0.0375147351557215,0.277006942491798,0.501150066003386
"1392","Guatemala","svpd","ebisuzaki",60,-0.0335769698934482,0.289526924407295,0.506267068948898
"1393","Guatemala","svpd","seasonal",5,0,0,0
"1394","Guatemala","svpd","seasonal",10,0.15190604511286,0.231630622567288,0.298497988659576
"1395","Guatemala","svpd","seasonal",15,0.195445814144398,0.280254896704293,0.352020447244277
"1396","Guatemala","svpd","seasonal",20,0.232694789695826,0.304490383691531,0.37568339396394
"1397","Guatemala","svpd","seasonal",25,0.245487311893181,0.321146790499674,0.391670319881267
"1398","Guatemala","svpd","seasonal",30,0.241931489380124,0.33027908290334,0.390881158830556
"1399","Guatemala","svpd","seasonal",35,0.236329320264614,0.325068917483879,0.390917780966015
"1400","Guatemala","svpd","seasonal",40,0.240293724962667,0.326201531785907,0.403397684751352
"1401","Guatemala","svpd","seasonal",45,0.230647586902267,0.321583745742582,0.388951217794569
"1402","Guatemala","svpd","seasonal",50,0.23041720114165,0.317425048467086,0.393013986130671
"1403","Guatemala","svpd","seasonal",55,0.228951886021199,0.316889465948343,0.390184177137283
"1404","Guatemala","svpd","seasonal",60,0.216713926157561,0.310293102484222,0.389584946692315
